GeneSet Length_GS pvalue CS excluded
KEGG_LYSINE_DEGRADATION 44 0.902 HADH,ABAT,LIPM,SRGN,ANO1,ANKS4B,ACSS1 0
KEGG_ARGININE_AND_PROLINE_METABOLISM 54 0.333 LXN,PTPN5,AHI1,PLA2G15,LYG2,LVRN,ANKRD65,SLC7A4,BRD2,THAP2,ANO1,ANO5,ANKS4B 3
KEGG_HISTIDINE_METABOLISM 29 0.017 APITD1,ANO10,PTPN5,REM1,BPIFB1,PLD1,KRT84,ANO1,PLD2,MRGPRX2 1
KEGG_TYROSINE_METABOLISM 42 0.324 ANO10,PTPN5,REM1,PLD1,AKAP1,ARSK,PLD2 1
KEGG_PHENYLALANINE_METABOLISM 18 0.278 ANO10,PTPN5,ARSK 1
KEGG_TRYPTOPHAN_METABOLISM 40 0.848 PTPN5,BOK,LIPM,ACTRT2,SRGN,ANO1,ANKS4B,ACSS1,FNTA 0
KEGG_BETA_ALANINE_METABOLISM 22 0.643 LDLRAD2,ARSK,ANO1,ANKS4B,ABCA12 1
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM 10 0.203 LDLRAD2,LRRC10B,C17orf64,LRPAP1,LRR1,AKR1A1 0
KEGG_SELENOAMINO_ACID_METABOLISM 26 0.05 TLR10,AMDHD1,REM1,PLD1,AMDHD2,LRRC10B,PLD2,LRPAP1,LRR1 1
KEGG_GLUTATHIONE_METABOLISM 50 0.458 METTL5,LMAN2,PLA2G15,MMD,MLLT3,MLLT6,MLYCD,MLXIPL,MME,LRRC10B,MLXIP,LRPAP1,LRR1,MLL4 2
KEGG_STARCH_AND_SUCROSE_METABOLISM 52 0.895 MYLIP,LCA5L,MAST3,MYLK,MPDU1,HIST1H4F,TRAF3IP1,ALKBH7 2
KEGG_N_GLYCAN_BIOSYNTHESIS 46 0.039 C17orf28,AOAH,GMPR2,GNB5,FEZF1,RGP1,ANXA2R 1
KEGG_OTHER_GLYCAN_DEGRADATION 16 0.689 PTPN1,L3MBTL1,PTPN12,MTHFR,SLC22A8,ALG1,LRRN2,L3MBTL2 0
KEGG_O_GLYCAN_BIOSYNTHESIS 30 0.9 CCDC33,C17orf51,LMLN,LGALS3BP,LMF1,C16orf92,LGALS14 0
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM 44 0.32 MYLIP,EBLN2,MAP1A,LZTFL1,MAST3,MYLK,LEPREL1,DLG5,LEPREL2 0
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION 21 0.647 NKG7,NDUFA2,MPDU1,MAP3K11,BEND5,MTHFR 0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE 22 0.454 DNAJC17,DNAJC13,FAM105A 2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE 15 0.132 C17orf28,C16orf93 0
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE 26 0.902 ICAM4,NECAB3 2
KEGG_GLYCEROLIPID_METABOLISM 49 0.615 GALNS,PPP1R32,ALOX15B,ALOX12B,PON2,GALM,ANO1,GADD45B,LRRCC1,GALNT13,ANKRD12,ANKS4B,UTP23 0
KEGG_INOSITOL_PHOSPHATE_METABOLISM 54 0.632 TRMT13,OR11G2,TSC1,OMP,SPTLC1,OPRL1,TRPV6,ANO7,TTF2,TTI1,OR4L1,TTLL10,RHOT1,TTC8,TTC9,OR10Q1 0
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS 25 0.267 GNB5,TRIM71,TRIP10,TRMT10A,TRIT1,TRIP6,TRIML2,TRIM68,TRIM67 0
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM 77 0.709 GALNS,ALOX15B,TNS1,PPP1R14D,DHX58,ALOX12B,GALM,EXOSC10,TTC21A,MARVELD2,TTC14,PPP1R15B,TRAK2,ZMYM2,TTC26,MANSC4,GALNT13,TSTD2,UTP23,TTC17,TST,PSD2,TSSK4 3
KEGG_ETHER_LIPID_METABOLISM 33 0.908 PPP1R14D,TTC21A,TTC14,TTC26,UTP23,TTC17,TST,THRAP3,ALPK2,THRSP,TSSK4,PPP1R16B,TTBK2,TTLL9 1
KEGG_ARACHIDONIC_ACID_METABOLISM 58 0.876 FBXO44,METTL5,FCN2,FBXO46,LRRC10B,TTC21A,TTC14,TTC26,LRPAP1,LRR1,PRR3,TTC17,TST,ZMYND12,TSSK4,TTBK2,ZNF134 1
KEGG_LINOLEIC_ACID_METABOLISM 29 0.616 FBXO44,FCAR,FBXO46,TTC21A,TTC14,TTC26,TTC17,TST,TSSK4 1
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM 19 0.737 ADAM15,TTC21A,TTC14,TTC26,TTC17,TST,TSSK4,TTBK2 1
KEGG_SPHINGOLIPID_METABOLISM 40 0.991 LEP,FXYD4,ACTR1B,ACTR10,UTP23,SLC22A8 1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES 26 0.165 C17orf28,LAMA1,LALBA,C16orf59 0
